Username,Twitter Handle,Timestamp,Comments,Retweets,Likes,Text
Rasheeda A.,@99Rasheeda,2023-02-08T23:22:06.000Z,,,,"#TSLA news.  Glad this was resolved and his Tesla will be replaced, especially as he had all the proof."
TESLA BULL,@BestTrader01,2023-02-08T22:52:27.000Z,5,3,38,"$TSLA #TSLA = Retail Capitulation?!

Algo's and Institutes succeeded to out Billions of Dollars of Tesla Stock Sale under $200 in the last week or Months.

Where DarkPool + New 13F shows $120+ Billions of Dollars of Stock Buy by the Institutes in the Last Month!

GAME OVER!"
Blondie,@BlondieTrades,2023-02-08T22:51:12.000Z,,,,"@thefinancehydra
 did you pick up on the possible double top here? #TSLA"
ロカボスタイル,@Lowcarb_Style,2023-02-08T22:30:03.000Z,,2,6,"テスラ、3月1日開催の投資家イベント、インベスター・デイでマスタープラン・パート3を発表へ https://lowcarb.style/2023/02/09/tesla-master-plan-part-3/…

コレは非常に楽しみ
背景の画像にはギミックが仕込まれてる様で、小型廉価版テスラの筐体が並んでるとの事

#テスラ #インベスターデイ #TSLA #マスタープラン3"
유캔스톡,@ucanstock,2023-02-08T22:00:40.000Z,,,,"Tesla's Model Y and Model 3 top-selling vehicles in California in 2022
#TSLA via 
@ucanstock
 https://ucanstock.com/news/14111765"
H D,@OliviaW37349583,2023-02-08T21:46:40.000Z,,,2,"$TSLA - #TSLA chart on 
@TradingView"
topstonks,@topstonks,2023-02-08T21:41:27.000Z,,,1,"$TSLA seeing sustained chatter on wallstreetbets over the last few days

Via http://topstonks.com/stocks/TSLA?st_tsla…

#tsla    #wallstreetbets  #stocks"
Hamid Ramini,@haminex,2023-02-08T21:40:10.000Z,,,7,#TSLA : Update in weekly bars.
strengthPlan,@strengthPlan,2023-02-08T21:12:18.000Z,1,3,13,"Daily reminder Tesla is the best stock & only stock to own. Tesla up 86% since Jan 3:

2/7 $201 
2/6 $194 
2/3 $189 
2/2 $188 
2/1 $181 
1/31 $173 
1/30 $166 
1/27 $177 
1/26 $160 
1/25 $144 
1/24 $143 
1/23 $143 
1/20 $133 
...
1/3 $108 #tsla"
JCatullo,@gameCat85,2023-02-08T21:08:23.000Z,,,,"Fundamentals no longer exist, anywhere in the market.  Frankly, they probably never did.  It’s all about mass psychology.  #tsla is the best example."
Leo Ma,@moka_bingsha,2023-02-08T21:05:07.000Z,,,1,"Congrats to Tesla investors! What an impressive milestone, closing above $200! The Nasdaq's decline only serves to highlight Tesla's success. #TSLA"
LazyDaz,@zadlazy,2023-02-08T21:03:12.000Z,,,2,"#AMC #APE #GME #TSLA Nothing independent about head of the OTC, regulators, and hedge funds golfing together while #MMTLP a non-tradable placeholder allowed to trade has been halted by 
@FINRA
 62 days trapping shares and $ while being stonewalled for updates!"
